NJ,ZYMC,YHDM
2011,社会学类03,108105
2011,社会学类03,105481
2011,社会学类03,105468
2011,社会学类03,105497
2011,社会学类03,105726
2011,社会学类03,105593
2011,社会学类03,108497
2011,社会学类03,106441
2011,社会学类03,105474
2011,社会学类03,105721
2011,语言文学类01,105526
2011,语言文学类01,105596
2011,语言文学类01,108220
2011,语言文学类01,107894
2011,语言文学类01,108486
2011,语言文学类01,107070
2011,语言文学类01,106061
2011,语言文学类01,108078
2011,语言文学类01,105435
2011,语言文学类01,106376
2011,语言文学类01,106293
2011,语言文学类01,105520
2011,语言文学类01,108259
2011,语言文学类01,105496
2011,语言文学类01,105823
2011,语言文学类01,107953
2011,语言文学类01,105522
2011,语言文学类01,108079
2011,语言文学类01,106066
2011,语言文学类01,107107
2011,语言文学类01,108032
2011,语言文学类01,107584
2011,语言文学类01,108094
2011,语言文学类01,108093
2011,语言文学类01,108033
2011,语言文学类01,106208
2011,语言文学类01,108006
2011,语言文学类01,106122
2011,语言文学类01,108092
2011,语言文学类01,108091
2011,语言文学类01,107797
2011,语言文学类01,105914
2011,语言文学类01,108090
2011,语言文学类01,106199
2011,语言文学类01,106988
2011,语言文学类01,105764
2011,语言文学类01,107898
2011,语言文学类01,105441
2011,语言文学类01,107793
2011,语言文学类01,107332
2011,语言文学类01,106017
2011,语言文学类01,107327
2011,语言文学类01,105497
2011,语言文学类01,106012
2011,语言文学类01,107583
2011,语言文学类01,105962
2011,语言文学类01,107936
2011,语言文学类01,105525
2011,语言文学类01,106724
2011,语言文学类01,106719
2011,语言文学类01,107131
2011,语言文学类01,106718
2011,语言文学类01,106299
2011,语言文学类01,105474
2011,语言文学类01,107133
2011,语言文学类01,107134
2011,语言文学类01,106725
2011,语言文学类01,105720
2011,语言文学类01,107794
2011,生命科学类17,107337
2011,政法类03,106643
2011,政法类03,105754
2011,政法类03,105851
2011,政法类03,107614
2011,政法类03,107485
2011,政法类03,107367
2011,政法类03,107112
2011,政法类03,106630
2011,政法类03,107277
2011,政法类03,105626
2011,政法类03,105468
2011,政法类03,105755
2011,政法类03,105843
2011,政法类03,107366
2011,政法类03,105848
2011,政法类03,105562
2011,政法类03,105464
2011,政法类03,105484
2011,政法类03,105488
2011,政法类03,105841
2011,政法类03,107365
2011,政法类03,106995
2011,政法类03,105507
2011,政法类03,106186
2011,政法类03,105951
2011,政法类03,105925
2011,政法类03,105923
2011,政法类03,105969
2011,政法类03,106005
2011,政法类03,105485
2011,政法类03,108451
2011,政法类03,106289
2011,政法类03,106191
2011,政法类03,106608
2011,政法类03,106189
2011,政法类03,106543
2011,政法类03,106617
2011,政法类03,106206
2011,政法类03,105445
2011,政法类03,105478
2011,政法类03,106616
2011,政法类03,106187
2011,政法类03,105764
2011,政法类03,106128
2011,政法类03,105847
2011,政法类03,105842
2011,政法类03,108074
2011,政法类03,107921
2011,政法类03,107994
2011,政法类03,105439
2011,政法类03,106996
2011,政法类03,106101
2011,政法类03,105497
2011,政法类03,107924
2011,政法类03,105721
2011,政法类03,105726
2011,政法类03,105850
2011,政法类03,105844
2011,政法类03,105927
2011,政法类03,105988
2011,政法类03,105953
2011,政法类03,105954
2011,政法类03,105528
2011,政法类03,105858
2011,政法类03,105435
2011,政法类03,106881
2011,政法类03,105777
2011,政法类03,107323
2011,政法类03,107322
2011,政法类03,107321
2011,政法类03,107320
2011,政法类03,106592
2011,政法类03,106395
2011,政法类03,106867
2011,政法类03,108435
2011,政法类03,105677
2011,政法类03,105493
2011,政法类03,106864
2011,政法类03,105474
2011,政法类03,105434
2011,政法类03,107909
2011,政法类03,107883
2011,政法类03,107612
2011,政法类03,107240
2011,政法类03,108021
2011,政法类03,105933
2011,政法类03,106006
2011,政法类03,107314
2011,政法类03,105932
2011,政法类03,108105
2011,政法类03,105602
2011,政法类03,107918
2011,政法类03,105615
2011,政法类03,105441
2011,政法类03,106441
2011,政法类03,105520
2011,政法类03,108210
